,Avg_price,Suburb
0,624720.3389830509,Footscray
1,763045.4545454546,Caulfield
2,869637.0370370371,Coburg
3,515383.3333333333,Albion
4,819674.074074074,Kingsville
5,646582.3529411765,Melbourne
6,810300.5917159764,St Kilda
7,909951.2195121951,Seddon
8,607354.1782729805,Reservoir
9,525832.0512820513,Sunshine West
10,908251.572327044,Brunswick
11,925877.1186440678,Moorabbin
12,1043567.4418604651,Prahran
13,706623.2876712328,West Footscray
14,811394.3418803419,Thornbury
15,724209.9206349206,Pascoe Vale
16,835566.5384615385,Carnegie
17,983868.5897435897,Essendon
18,648204.081632653,Flemington
19,592135.3851351351,Glenroy
20,1039090.2777777778,Ormond
21,703663.3663366337,Brunswick West
22,1544051.6556291392,Glen Iris
23,1001412.2807017544,Murrumbeena
24,759000.0,Essendon North
25,745491.2307692308,Maribyrnong
26,676938.8777777777,Sunshine
27,939411.7816091954,South Yarra
28,1044798.1651376147,Moonee Ponds
29,1025730.6818181818,Richmond
30,1049433.8235294118,Hawthorn
31,689865.671641791,Maidstone
32,867351.0638297872,Windsor
33,1124192.3076923077,Caulfield South
34,1429154.9295774647,Armadale
35,731473.6842105263,Balaclava
36,447638.8888888889,Jacana
37,776857.1428571428,Gardenvale
38,656625.0,Williamstown North
39,1196793.1818181819,Box Hill
40,586735.2941176471,Fawkner
41,951810.3448275862,Caulfield North
42,877844.262295082,Brunswick East
43,736274.647887324,Altona North
44,986242.4242424242,Ascot Vale
45,984750.0,Abbotsford
46,896459.99,Elwood
47,1339168.103448276,Malvern East
48,829464.1,Preston
49,895397.0588235294,Oakleigh
50,1205403.3333333333,Parkville
51,1149013.5135135136,Fitzroy
52,767500.9,Kensington
53,1241544.8717948718,Williamstown
54,1056577.027027027,Carlton
55,1180585.1063829786,Northcote
56,619463.0769230769,Sunshine North
57,970285.7142857143,Travancore
58,522921.05263157893,Kealba
59,779621.8474576271,North Melbourne
60,1216847.4576271186,South Melbourne
61,1378311.797752809,Hawthorn East
62,1089000.0,Clifton Hill
63,782555.5555555555,Ripponlea
64,1195838.9830508474,Fitzroy North
65,649720.4230769231,Hadfield
66,615451.8181818182,Heidelberg West
67,921833.1272727273,Yarraville
68,969388.8888888889,Newport
69,1029002.8888888889,Bentleigh East
70,1567465.1162790698,Brighton East
71,715625.0,Glen Huntly
72,697583.3333333334,Watsonia
73,1666585.7252747254,Toorak
74,741060.8775510204,Oak Park
75,1253459.349593496,Bentleigh
76,789166.6666666666,Docklands
77,870595.7446808511,Collingwood
78,437285.71428571426,Campbellfield
79,638758.0645161291,Southbank
80,1237000.0,Aberfeldie
81,1841849.572413793,Brighton
82,1049129.0322580645,Hughesdale
83,628180.5555555555,Braybrook
84,746536.3636363636,Keilor East
85,661166.6666666666,Kingsbury
86,708703.125,South Kingsville
87,620933.3333333334,Keilor Park
88,1080929.4871794872,Ivanhoe
89,1248821.4285714286,Alphington
90,1885903.6697247706,Balwyn
91,1421428.5714285714,Carlton North
92,621675.0,Gowanbrae
93,1548038.8349514564,Hampton
94,1172971.31147541,Port Melbourne
95,771851.0204081633,Altona
96,1809492.9078014183,Kew
97,1177622.2222222222,Doncaster
98,1535055.5555555555,Eaglemont
99,1032360.6060606061,Fairfield
100,1043242.8571428572,Hampton East
101,735579.0909090909,Heidelberg Heights
102,1739400.0,Middle Park
103,588066.6666666666,Brooklyn
104,693862.9032258064,Airport West
105,1945938.596491228,Malvern
106,1793842.105263158,Ivanhoe East
107,967078.947368421,Cremorne
108,1249523.8095238095,Elsternwick
109,1173769.2307692308,Strathmore
110,814686.567164179,Avondale Heights
111,789403.8461538461,Coburg North
112,927485.2941176471,Heidelberg
113,1315631.5789473683,East Melbourne
114,1795710.810810811,Camberwell
115,919408.3333333334,Rosanna
116,873610.2941176471,Viewbank
117,1867226.1904761905,Albert Park
118,931000.0,West Melbourne
119,876418.0327868853,Niddrie
120,1581573.7704918033,Ashburton
121,1496705.8823529412,Mont Albert
122,1475180.2325581396,Surrey Hills
123,977880.9523809524,Essendon West
124,849111.0,Strathmore Heights
125,1078507.3170731708,Ashwood
126,1154100.0,Caulfield East
127,1751307.03125,Balwyn North
128,1183382.191780822,Burwood
129,938987.4423076923,Oakleigh South
130,753312.5,Yallambie
131,1592600.0,Kew East
132,761545.4545454546,Bellfield
133,1001486.8421052631,Chadstone
134,1083666.6666666667,Templestowe Lower
135,2163815.789473684,Canterbury
136,944840.9090909091,Spotswood
137,1141119.0476190476,Bulleen
138,1180000.0,Seaholme
139,1150902.0,Burnley
140,1569333.3333333333,Princes Hill
141,1603666.6666666667,Kooyong
